URL,Abstract,NumCited,"Author, Year, Source Information",Title
http://www.sciencedirect.com/science/article/pii/S014102290000140X,"...  A bottom- fermenting  brewer's yeast strain of S. cerevisiae var.  ...  Cells were harvested during 
production of non-alcohol  beer  and incubated in wort. Flavor production  rates  were measured 
during anaerobic  fermentation  at 12°C, 1-propanol (◊), isobutanol (■), and isoamyl alcohol  ...  
",Cited by 46,"MFM Van Iersel, E Brouwer–Post, FM Rombouts… - Enzyme and microbial  …, 2000 - Elsevier",Influence of yeast immobilization on fermentation and aldehyde reduction during the production of alcohol-free beer
http://www.sciencedirect.com/science/article/pii/S0168160507006617,"...  Among the  fermenting  microorganisms, yeasts are the most important group of microorganisms 
that  ...  recent years, there has been a preference by winemakers to  ferment  white wines  ...  Similarly, 
 beer   fermentation  occurs at different temperatures depending on the type of  beer ; ale  ...  
",Cited by 126,"C Belloch, S Orlic, E Barrio, A Querol - International journal of food  …, 2008 - Elsevier",Fermentative stress adaptation of hybrids within the Saccharomyces sensu stricto complex
http://onlinelibrary.wiley.com/doi/10.1002/j.2050-0416.1952.tb02675.x/abstract,"...  It may therefore be considered an undesirable wild yeast for naturally conditioned  beers .  ... 
10-day-old culture from  beer , dram stained x 1400  ...  1035), the yeast was found to give a slightly 
faster  fermentation  for the first 20-30 hr.; it then drew away rapidly and  fermented  to a much  ...  
",Cited by 72,"BJ Andrews, RB Gilliland - Journal of the Institute of Brewing, 1952 - Wiley Online Library",SUPER‐ATTENUATION OF BEER: A STUDY OF THREE ORGANISMS CAPABLE OF CAUSING ABNORMAL ATTENUATIONS
http://onlinelibrary.wiley.com/doi/10.1002/j.2050-0416.2002.tb00569.x/abstract,"...  The desired degree of apparent attenuation for stage one of primary  beer   fermentation , ie 
70–80%, was  ...  during the main fer- mentation, which could strongly influence the flavour profile 
of the  beer .  ...  5). As a result of the intensive biomass  growth  in the ALR, high levels of diacetyl  ...  
",Cited by 49,"T Brányik, A Vicente, JM Cruz… - Journal of the Institute of  …, 2002 - Wiley Online Library",Continuous primary beer fermentation with brewing yeast immobilized on spent grains
http://onlinelibrary.wiley.com/doi/10.1002/bit.260220713/full,"...   fermentation  using immobilized cells so far published, has related only to  fermented  beverages. 
On continuous  beer  production the more important reports are of Comeu et al  ...  Chose and 
Bandyopadhyay' carried out continuous ethanol  fermentation  in an immobilized yeast cell  ...  
",Cited by 112,"TK Ghose, KK Bandyopadhyay - Biotechnology and  …, 1980 - Wiley Online Library",Rapid ethanol fermentation in immobilized yeast cell reactor
http://www.tandfonline.com/doi/abs/10.1080/08905439609549899,"...  39 NOMENCLATURE H max = maximum specific  growth   rate  (h'1). The course of  fermentation 
was divided into short intervals.  ...  Microbiological aspect of traditional manufacture of busaa, a 
Kenyan maize  beer . Chem. Mikrobiol.  ...   beers . Progress in Industrial Microbiol (Ed.  ...  
",Cited by 36,"S Konlani, JP Delgenes, R Moletta, A Traore… - Food  …, 1996 - Taylor & Francis",Isolation and physiological characterization of yeasts involved in sorghum beer production
http://www.sciencedirect.com/science/article/pii/S1389172307700877,"...  In low-malt  beer   fermentation , nitrogen sources are usually depleted in 1–2 d and thereafter, 
cell  ...  and Table 1 shows the values of the parameters studied in the serial-repitching  fermentation .  ... 
With the decrease in cell  growth   rate , it was shown that the final FAN concentration  ...  
",Cited by 19,"M Kobayashi, H Shimizu, S Shioya - Journal of bioscience and  …, 2007 - Elsevier",Physiological analysis of yeast cells by flow cytometry during serial-repitching of low-malt beer fermentation
http://onlinelibrary.wiley.com/doi/10.1002/bit.260190804/full,"...  Sigmamotor Model TM-2.0-2) were used to control the flow of  fermented   beer  from the  ...  a result, 
more cells were lost in the overflow stream than produced during  fermentation  and the  ...  in the 
vacuum- recycle system was the ability of the vacuum system to  ferment  a concentrated  ...  
",Cited by 374,"GR Cysewski, CR Wilke - Biotechnology and Bioengineering, 1977 - Wiley Online Library",Rapid ethanol fermentations using vacuum and cell recycle
http://www.sciencedirect.com/science/article/pii/S0308814603006034,"...  the higher concentration of higher alcohols (fusel oils) observed in finished  beer  although 
practically no  ...  that the lower levels found for higher alcohols in the  beers   fermented  by the  ...  The 
same  fermentation  conditions may influence the sulfur dioxide and acetaldehyde levels (Fig.  ...  
",Cited by 49,"LF Guido, PG Rodrigues, JA Rodrigues, CR Goncalves… - Food chemistry, 2004 - Elsevier",The impact of the physiological condition of the pitching yeast on beer flavour stability: an industrial approach
http://aem.asm.org/content/69/9/5228.short,"...  significantly increased concentrations of isoamyl acetate and ethyl acetate in the  beers  produced.  ... 
production strategies and/or new yeast strains, allowing further optimization of  beer  flavor profiles  ... 
of volatile compounds produced by ATF deletion strains after 36 h of  fermentation .  ...  
",Cited by 194,"KJ Verstrepen, SDM Van Laere… - Applied and  …, 2003 - Am Soc Microbiol","Expression levels of the yeast alcohol acetyltransferase genes ATF1, Lg-ATF1, and ATF2 control the formation of a broad range of volatile esters"
http://onlinelibrary.wiley.com/doi/10.1002/bit.260190414/full,"...  fermentor to remove the last traces of sugar and alcohol from spent  beer , the latter  ...  One obvious 
process improvement would be to use thermotolerant yeasts that can  ferment  at temperatures 
of  ...  The heat of  fermentation  in this process is used directly for distilling off alcohol, unlike  ...  
",Cited by 135,"A Ramalingham, RK Finn - Biotechnology and Bioengineering, 1977 - Wiley Online Library",The vacuferm process: a new approach to fermentation alcohol
http://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222230207,"...   Beer  can be distinguished by the type of yeast and the temperature of  fermentation .  ...  Ratings might 
turn out to be “overly erudite” in the sense that consumers might  rate   beers  based on  ...  Consumers 
who hated a  beer  but thought that it was a well-done ex- ample of its style would  ...  
",Cited by 562,"EK Clemons, GG Gao, LM Hitt - Journal of Management  …, 2006 - Taylor & Francis",When online reviews meet hyperdifferentiation: A study of the craft beer industry
http://onlinelibrary.wiley.com/doi/10.1002/j.2050-0416.2008.tb00299.x/abstract,"...  Since the formation of organic acids is proportionate to  fermentation  intensity, its control can be 
achieved by equilibrating the intensity and duration of the  ...  Carbonyl compounds  Beers  made from 
the same wort and yeast strain in continuous  beer  fermentations showed  ...  
",Cited by 51,"T Brányik, AA Vicente, P Dostálek… - Journal of the Institute  …, 2008 - Wiley Online Library",A review of flavour formation in continuous beer fermentations
